"LURN_SAK","INCIDENT_DATE","INCIDENT_REPORTED_DATE","CATEGORY","STAT","STAT_DESC","ADDRESS","STREET","CITY","ZIP","INCIDENT_ID","REPORTING_DISTRICT","SEQ","GANG_RELATED","UNIT_ID","UNIT_NAME","LONGITUDE","LATITUDE","PART_CATEGORY"
19988630,"08/06/2022 11:15:00 PM","08/07/2022","LARCENY THEFT","089","GRAND THEFT: Other (From Boat, Plane, Prvt Res, Yard, Etc)","8200 CRIDER AVE, PICO RIVERA, CA 90660","8200 CRIDER AVE","PICO RIVERA","90660","922-04785-1516","1516","04785","NO","CA0190015","PICO RIVERA",-118.116,33.969,1
19974381,"07/23/2022 02:21:00 AM","07/23/2022","VEHICLE / BOATING LAWS","255","VEHICLE AND BOATING LAWS: Misdemeanor","11600 MINA AVE, WHITTIER, CA 90605","11600 MINA AVE","WHITTIER","90605","922-08568-0494","0494","08568","NO","CA0190004","NORWALK",-118.045,33.925,2
19978742,"07/27/2022 08:58:00 PM","07/27/2022","VANDALISM","264","VANDALISM: Graffiti/Tagging","1100 DURFEE AVE, SOUTH EL MONTE, CA 91733","1100 DURFEE AVE","SOUTH EL MONTE","91733","922-08530-0563","0563","08530","NO","CA0190005","TEMPLE",-118.04,34.036,2
19984744,"08/03/2022 02:00:00 PM","08/03/2022","MISDEMEANORS MISCELLANEOUS","399","MISDEMEANORS, MISCELLANEOUS: All Other Misdemeanors","4800 137TH PL, HAWTHORNE, CA 90250","4800 137TH PL","HAWTHORNE","90250","922-06495-0385","0385","06495","NO","CA0190003","SOUTH LOS ANGELES",-118.361,33.906,2
19983187,"08/01/2022 12:18:00 AM","08/02/2022","FRAUD AND NSF CHECKS","112","FRAUD: Fraud By False Pretenses","2500 N PECK RD, MONROVIA, CA 91016","2500 N PECK RD","MONROVIA","91016","922-08726-0584","0584","08726","NO","CA0190005","TEMPLE",-118.003,34.118,2
19989069,"08/06/2022 06:35:30 PM","08/07/2022","FRAUD AND NSF CHECKS","112","FRAUD: Fraud By False Pretenses","10100 E AVENUE R-12, LITTLEROCK, CA 93543","10100 E AVENUE R-12","LITTLEROCK","93543","922-10334-2663","2663","10334","NO","CA01900W9","PALMDALE",-117.949,34.561,2
19974758,"07/22/2022 10:30:00 PM","07/23/2022","VANDALISM","263","VANDALISM FELONY","11800 BARMWALL ST, NORWALK, CA 90650","11800 BARMWALL ST","NORWALK","90650","922-08587-0458","0458","08587","NO","CA0190004","NORWALK",-118.081,33.891,2
19995096,"08/14/2022 03:35:00 AM","08/14/2022","NON-AGGRAVATED ASSAULTS","146","ASSAULT, NON-AGGRAVATED: DOMESTIC VIOLENCE","7300 NORWALK BLVD, WHITTIER, CA 90606","7300 NORWALK BLVD","WHITTIER","90606","022-04964-1576","1576","04964","NO","CA0190015","PICO RIVERA",-118.075,33.979,2
19984163,"07/28/2022 01:52:00 PM","08/03/2022","FRAUD AND NSF CHECKS","112","FRAUD: Fraud By False Pretenses","300 SIERRA MADRE BLVD, PASADENA, CA 91107","300 SIERRA MADRE BLVD","PASADENA","91107","922-08776-0589","0589","08776","NO","CA0190005","TEMPLE",-118.101,34.139,2
19977761,"07/27/2022 01:48:19 AM","07/27/2022","FELONIES MISCELLANEOUS","339","FELONIES, MISCELLANEOUS: All Other Felonies",,,,,"922-09737-2825","2825","09737","NO","CA0190042","COMPTON",,,2
19994105,"08/12/2022 04:00:00 AM","08/12/2022","BURGLARY","076","BURGLARY, OTHER STRUCTURE: Day, Attempt","8600 ARTESIA BLVD, BELLFLOWER, CA 90706","8600 ARTESIA BLVD","BELLFLOWER","90706","922-15942-1335","1335","15942","NO","CA0190013","LAKEWOOD",-118.147,33.874,1
19994890,"08/13/2022 07:30:00 PM","08/13/2022","DRUNK / ALCOHOL / DRUGS","201","DRUNK: Alcohol","800 W ARROW HWY, SAN DIMAS, CA 91773","800 W ARROW HWY","SAN DIMAS","91773","922-03926-0811","0811","03926","NO","CA0190008","SAN DIMAS",-117.823,34.106,2
19975555,"07/24/2022 06:48:00 PM","07/24/2022","WEAPON LAWS","152","WEAPON LAWS: Misdemeanor","16100 ROSECRANS AVE, LA MIRADA, CA 90638","16100 ROSECRANS AVE","LA MIRADA","90638","922-08621-0468","0468","08621","NO","CA0190004","NORWALK",-117.989,33.896,2
19990203,"08/04/2022 01:30:00 AM","08/08/2022","BURGLARY","071","BURGLARY, OTHER STRUCTURE: Night, Entry By Force","5500 PEARBLOSSOM HWY, PALMDALE, CA","5500 PEARBLOSSOM HWY","PALMDALE",,"922-10383-2603","2603","10383","NO","CA01900W9","PALMDALE",-118.031,34.542,1
19975611,"07/24/2022 08:00:00 PM","07/24/2022","MISDEMEANORS MISCELLANEOUS","391","MISDEMEANORS, MISCELLANEOUS: Trespassing","15200 ROSECRANS AVE, LA MIRADA, CA","15200 ROSECRANS AVE","LA MIRADA",,"922-08623-0470","0470","08623","NO","CA0190004","NORWALK",-118.007,33.897,2
